,name,Line,frame,FS coverage DeFiNe,FS Overlap coverage DeFiNe,DeFiNe ratio no overlap,line type,Line type,grouping,density groups image,density full image
0,20_371_df_line_comparison.csv,20.0,371.0,0.0,0.306682557738707,0.18181818181818182,20,line 20,.008-.01,3.0,0.009228
1,20_460_df_line_comparison.csv,20.0,460.0,0.1737322247749605,0.3905559396430148,0.0,20,line 20,.008-.01,3.0,0.008928
2,20_48_df_line_comparison.csv,20.0,48.0,0.0,0.2356185276052441,0.1,20,line 20,.006-.008,2.0,0.007848
3,40_263_df_line_comparison.csv,40.0,263.0,0.0,0.1697872320931675,0.4090909090909091,40,line 40,.02-1,9.0,0.02188
4,20_347_df_line_comparison.csv,20.0,347.0,0.0,0.2707966647640664,0.08333333333333333,20,line 20,.006-.008,2.0,0.007148
5,10_75_df_line_comparison.csv,10.0,75.0,0.2079520980899946,0.5198395869488222,0.0,10,line 10,.004-.006,1.0,0.00404
6,40_356_df_line_comparison.csv,40.0,356.0,0.0,0.3537957995285704,0.2,40,line 40,.016-.018,7.0,0.016944
7,20_90_df_line_comparison.csv,20.0,90.0,0.0,0.3090561152351806,0.1111111111111111,20,line 20,.008-.01,3.0,0.009432
8,30_326_df_line_comparison.csv,30.0,326.0,0.0,0.1791878410243323,0.4,30,line 30,.012-.014,5.0,0.012756
9,40_76_df_line_comparison.csv,40.0,76.0,0.0,0.2259934733726269,0.0,40,line 40,.016-.018,7.0,0.016584
10,40_139_df_line_comparison.csv,40.0,139.0,0.0,0.1186529472881467,0.6190476190476191,40,line 40,.018-.02,8.0,0.018788
11,40_427_df_line_comparison.csv,40.0,427.0,0.0,0.18627031726949556,0.2857142857142857,40,line 40,.016-.018,7.0,0.017268
12,30_227_df_line_comparison.csv,30.0,227.0,0.0,0.337768890050109,0.0,30,line 30,.012-.014,5.0,0.01292
13,40_439_df_line_comparison.csv,40.0,439.0,0.0,0.2428104530282278,0.05555555555555555,40,line 40,.02-1,9.0,0.020672
14,40_426_df_line_comparison.csv,40.0,426.0,0.0,0.2139794431755247,0.26666666666666666,40,line 40,.018-.02,8.0,0.018756
15,20_160_df_line_comparison.csv,20.0,160.0,0.0,0.2397871076467093,0.0,20,line 20,.01-.012,4.0,0.011212
16,40_188_df_line_comparison.csv,40.0,188.0,0.0,0.30032464281231297,0.0,40,line 40,.018-.02,8.0,0.018536
17,20_124_df_line_comparison.csv,20.0,124.0,0.0,0.4195008641584979,0.125,20,line 20,.008-.01,3.0,0.008824
18,30_164_df_line_comparison.csv,30.0,164.0,0.0,0.3259252568173291,0.18181818181818182,30,line 30,.012-.014,5.0,0.013076
19,5_126_df_line_comparison.csv,5.0,126.0,0.5912111567104394,0.6718586461636042,0.0,5,line 5,0-.004,0.0,0.002064
20,40_389_df_line_comparison.csv,40.0,389.0,0.0,0.2130076971615314,0.35294117647058826,40,line 40,.016-.018,7.0,0.016936
21,40_480_df_line_comparison.csv,40.0,480.0,0.0,0.1440568683231601,0.15,40,line 40,.012-.014,5.0,0.012756
22,20_468_df_line_comparison.csv,20.0,468.0,0.0,0.3726779962499649,0.1111111111111111,20,line 20,.008-.01,3.0,0.008864
23,20_250_df_line_comparison.csv,20.0,250.0,0.0,0.2843882918616301,0.07142857142857142,20,line 20,.008-.01,3.0,0.0088
24,20_245_df_line_comparison.csv,20.0,245.0,0.0,0.2341142243253341,0.0,20,line 20,.008-.01,3.0,0.008984
25,40_261_df_line_comparison.csv,40.0,261.0,0.0,0.2256630657073361,0.1111111111111111,40,line 40,.016-.018,7.0,0.01678
26,30_331_df_line_comparison.csv,30.0,331.0,0.0,0.2047910612096689,0.16666666666666666,30,line 30,.014-.016,6.0,0.01502
27,30_355_df_line_comparison.csv,30.0,355.0,0.0,0.1899423987908288,0.06666666666666667,30,line 30,.014-.016,6.0,0.015128
28,20_73_df_line_comparison.csv,20.0,73.0,0.0,0.4852104575927038,0.0,20,line 20,.008-.01,3.0,0.008232
29,20_192_df_line_comparison.csv,20.0,192.0,0.1989811314425726,0.29839755530710194,0.07142857142857142,20,line 20,.008-.01,3.0,0.008808
30,40_415_df_line_comparison.csv,40.0,415.0,0.0,0.1980989699363816,0.08695652173913043,40,line 40,.018-.02,8.0,0.018488
31,30_445_df_line_comparison.csv,30.0,445.0,0.0,0.19671310521657615,0.375,30,line 30,.012-.014,5.0,0.01326
32,40_121_df_line_comparison.csv,40.0,121.0,0.0,0.1862074254338019,0.08695652173913043,40,line 40,.02-1,9.0,0.020644
33,40_20_df_line_comparison.csv,40.0,20.0,0.0,0.2176985824668462,0.15789473684210525,40,line 40,.02-1,9.0,0.02024
34,40_149_df_line_comparison.csv,40.0,149.0,0.0,0.2758114636866271,0.4375,40,line 40,.018-.02,8.0,0.018572
35,10_128_df_line_comparison.csv,10.0,128.0,0.1218744347062995,0.2896515548196099,0.0,10,line 10,.004-.006,1.0,0.004612
36,30_474_df_line_comparison.csv,30.0,474.0,0.0,0.35874741371941743,0.06666666666666667,30,line 30,.01-.012,4.0,0.010752
37,30_0_df_line_comparison.csv,30.0,0.0,0.0,0.19861715215735765,0.15789473684210525,30,line 30,.016-.018,7.0,0.017164
38,5_466_df_line_comparison.csv,5.0,466.0,0.0995727921855987,0.2004150817332607,0.0,5,line 5,0-.004,0.0,0.002612
39,30_254_df_line_comparison.csv,30.0,254.0,0.0,0.10258999023832191,1.0,30,line 30,.006-.008,2.0,0.00714
40,30_210_df_line_comparison.csv,30.0,210.0,0.0,0.2631185921893735,0.18181818181818182,30,line 30,.014-.016,6.0,0.014804
41,20_148_df_line_comparison.csv,20.0,148.0,0.0,0.2774061904508835,0.1111111111111111,20,line 20,.01-.012,4.0,0.011084
42,40_256_df_line_comparison.csv,40.0,256.0,0.0,0.22203535401790742,0.25,40,line 40,.016-.018,7.0,0.016856
43,10_396_df_line_comparison.csv,10.0,396.0,0.03590109871423,0.3477868676848531,0.0,10,line 10,.004-.006,1.0,0.00464
44,40_360_df_line_comparison.csv,40.0,360.0,0.0,0.2099687205479249,0.1111111111111111,40,line 40,.02-1,9.0,0.021092
45,30_231_df_line_comparison.csv,30.0,231.0,0.0,0.2021713767202083,0.10526315789473684,30,line 30,.012-.014,5.0,0.013156
46,20_0_df_line_comparison.csv,20.0,0.0,0.0,0.0,1.0,20,line 20,.006-.008,2.0,0.0068
47,40_133_df_line_comparison.csv,40.0,133.0,0.0,0.2682422909404902,0.15,40,line 40,.014-.016,6.0,0.014856
48,5_3_df_line_comparison.csv,5.0,3.0,0.0,0.6262714746306624,0.0,5,line 5,0-.004,0.0,0.00266
49,10_356_df_line_comparison.csv,10.0,356.0,0.0,0.3456740667168579,0.5,10,line 10,0-.004,0.0,0.002636
50,40_37_df_line_comparison.csv,40.0,37.0,0.0,0.2565906644171162,0.09523809523809523,40,line 40,.018-.02,8.0,0.01808
51,20_406_df_line_comparison.csv,20.0,406.0,0.0,0.1838992621127641,0.08333333333333333,20,line 20,.006-.008,2.0,0.007236
52,40_382_df_line_comparison.csv,40.0,382.0,0.0,0.21383215419996582,0.09523809523809523,40,line 40,.016-.018,7.0,0.016788
53,40_368_df_line_comparison.csv,40.0,368.0,0.0,0.17194941340506614,0.65,40,line 40,.014-.016,6.0,0.014772
54,5_240_df_line_comparison.csv,5.0,240.0,0.28478088833703535,0.43663427575048097,0.0,5,line 5,.004-.006,1.0,0.004984
55,20_134_df_line_comparison.csv,20.0,134.0,0.0353553390593273,0.4381661819727472,0.08333333333333333,20,line 20,.006-.008,2.0,0.007236
56,30_74_df_line_comparison.csv,30.0,74.0,0.0,0.2715512277425309,0.058823529411764705,30,line 30,.01-.012,4.0,0.011488
57,40_404_df_line_comparison.csv,40.0,404.0,0.0,0.1711698222642844,0.3684210526315789,40,line 40,.014-.016,6.0,0.015244
58,5_319_df_line_comparison.csv,5.0,319.0,0.0523896063460176,0.6381951897171022,0.0,5,line 5,0-.004,0.0,0.0026
59,10_482_df_line_comparison.csv,10.0,482.0,0.0,0.4419417382415922,0.0,10,line 10,.004-.006,1.0,0.004896
60,40_491_df_line_comparison.csv,40.0,491.0,0.0,0.1789834379525827,0.09523809523809523,40,line 40,.02-1,9.0,0.020912
61,30_458_df_line_comparison.csv,30.0,458.0,0.0,0.2594133495485377,0.0,30,line 30,.01-.012,4.0,0.01092
62,40_467_df_line_comparison.csv,40.0,467.0,0.0,0.1609597608850029,0.23809523809523808,40,line 40,.02-1,9.0,0.021512
63,30_500_df_line_comparison.csv,30.0,500.0,0.0,0.2983280811479603,0.06666666666666667,30,line 30,.008-.01,3.0,0.009232
64,30_151_df_line_comparison.csv,30.0,151.0,0.0,0.2016015281547149,0.07142857142857142,30,line 30,.012-.014,5.0,0.012888
65,30_393_df_line_comparison.csv,30.0,393.0,0.0,0.25390237865704723,0.15384615384615385,30,line 30,.01-.012,4.0,0.011196
66,40_373_df_line_comparison.csv,40.0,373.0,0.0,0.2631367217830831,0.21052631578947367,40,line 40,.02-1,9.0,0.020632
67,5_129_df_line_comparison.csv,5.0,129.0,0.0,0.4274006775720165,0.0,5,line 5,0-.004,0.0,0.002052
68,20_135_df_line_comparison.csv,20.0,135.0,0.0,0.3252270409936315,0.0,20,line 20,.01-.012,4.0,0.010832
69,20_428_df_line_comparison.csv,20.0,428.0,0.0,0.3455417424520471,0.1,20,line 20,.004-.006,1.0,0.004904
70,40_101_df_line_comparison.csv,40.0,101.0,0.0,0.1410879047441319,0.5,40,line 40,.018-.02,8.0,0.018888
71,40_197_df_line_comparison.csv,40.0,197.0,0.0,0.2716692128474915,0.1111111111111111,40,line 40,.016-.018,7.0,0.016812
72,40_120_df_line_comparison.csv,40.0,120.0,0.0,0.3312459814130269,0.25,40,line 40,.016-.018,7.0,0.017288
73,40_92_df_line_comparison.csv,40.0,92.0,0.0,0.2529598769398278,0.3333333333333333,40,line 40,.018-.02,8.0,0.018396
74,20_41_df_line_comparison.csv,20.0,41.0,0.0,0.1570778211602854,0.08333333333333333,20,line 20,.01-.012,4.0,0.010076
75,30_400_df_line_comparison.csv,30.0,400.0,0.0996497184917789,0.6586936867797171,0.1,30,line 30,.012-.014,5.0,0.013156
76,20_173_df_line_comparison.csv,20.0,173.0,0.0,0.3234940286592797,0.25,20,line 20,.006-.008,2.0,0.006872
77,30_51_df_line_comparison.csv,30.0,51.0,0.0,0.3326543427933981,0.125,30,line 30,.012-.014,5.0,0.013228
78,10_222_df_line_comparison.csv,10.0,222.0,0.18723480323116254,0.4588695496702589,0.2857142857142857,10,line 10,.004-.006,1.0,0.00458
79,40_223_df_line_comparison.csv,40.0,223.0,0.0,0.2585169160204955,0.06666666666666667,40,line 40,.02-1,9.0,0.021356
80,30_95_df_line_comparison.csv,30.0,95.0,0.0,0.20243114406372403,0.3125,30,line 30,.014-.016,6.0,0.014224
81,30_126_df_line_comparison.csv,30.0,126.0,0.0,0.1240737100488445,0.4166666666666667,30,line 30,.012-.014,5.0,0.013192
82,40_244_df_line_comparison.csv,40.0,244.0,0.0,0.1888096912397215,0.058823529411764705,40,line 40,.02-1,9.0,0.02084
83,5_67_df_line_comparison.csv,5.0,67.0,0.4056596921580462,1.2369637925271106,0.0,5,line 5,0-.004,0.0,0.002512
84,10_186_df_line_comparison.csv,10.0,186.0,0.11013370279846685,0.39198386114277073,0.0,10,line 10,.006-.008,2.0,0.007176
85,20_359_df_line_comparison.csv,20.0,359.0,0.082714666029256,0.3238630759491729,0.0,20,line 20,.006-.008,2.0,0.006936
86,40_453_df_line_comparison.csv,40.0,453.0,0.0,0.2875208096745296,0.23529411764705882,40,line 40,.014-.016,6.0,0.015116
87,40_32_df_line_comparison.csv,40.0,32.0,0.0,0.1395635916090795,0.15789473684210525,40,line 40,.02-1,9.0,0.023268
88,5_97_df_line_comparison.csv,5.0,97.0,0.0,0.18941788893983802,0.0,5,line 5,0-.004,0.0,0.002976
89,30_438_df_line_comparison.csv,30.0,438.0,0.0,0.1591617820729077,0.1875,30,line 30,.016-.018,7.0,0.017256
90,10_166_df_line_comparison.csv,10.0,166.0,0.0784883841211853,0.5541779388060195,0.0,10,line 10,.004-.006,1.0,0.00468
91,10_183_df_line_comparison.csv,10.0,183.0,0.2088611387761941,0.5179219045372971,0.0,10,line 10,.004-.006,1.0,0.004616
92,20_276_df_line_comparison.csv,20.0,276.0,0.0,0.3011154777743451,0.25,20,line 20,.008-.01,3.0,0.008816
93,40_63_df_line_comparison.csv,40.0,63.0,0.0,0.140983206525352,0.36363636363636365,40,line 40,.016-.018,7.0,0.017864
94,20_449_df_line_comparison.csv,20.0,449.0,0.06767529127448375,0.282842712474619,0.125,20,line 20,.006-.008,2.0,0.007052
95,10_437_df_line_comparison.csv,10.0,437.0,0.0,0.47450429969126934,0.0,10,line 10,.004-.006,1.0,0.004612
96,5_264_df_line_comparison.csv,5.0,264.0,0.1981804305176198,0.4227486504582628,0.0,5,line 5,0-.004,0.0,0.002092
97,30_374_df_line_comparison.csv,30.0,374.0,0.0,0.2501949456133652,0.36363636363636365,30,line 30,.016-.018,7.0,0.017272
98,30_50_df_line_comparison.csv,30.0,50.0,0.0,0.2274218199597596,0.17647058823529413,30,line 30,.01-.012,4.0,0.011256
99,5_53_df_line_comparison.csv,5.0,53.0,0.4721476121957199,0.4721476121957199,0.0,5,line 5,0-.004,0.0,0.00112
